CODE,NAME,n,CV_raw,n_yoy,mu,CV_yoy
FJI,Fiji,22,0.100500624186283,20,-0.0136442603954946,0.0980010680958592
GAB,Gabon,24,0.126832633044236,23,0.0216070954104892,0.0366699521722436
GEO,Georgia,24,0.138943122638446,23,-0.0140739174286762,0.0688212239501872
GHA,Ghana,24,0.190158905094435,23,0.023287360328178,0.113689350521167
GIN,Guinea,24,0.13273372440418,23,0.0186118158270756,0.0539750149284382
GMB,Gambia,23,0.127216126768292,21,0.0173305307792038,0.0422756755709229
GNB,Guinea-Bissau,23,0.197863103353843,22,0.0254719619519231,0.258585899335889
GNQ,Equatorial Guinea,24,0.343958564090895,23,0.0224262318968682,0.111610627707149
GTM,Guatemala,24,0.0696395935078661,23,-0.00734166871843069,0.0502324966210077
GUY,Guyana,23,0.0625201229928787,21,-0.00513643010533564,0.0392298575055286
HND,Honduras,24,0.0941338014754393,23,-0.0112866024642796,0.0663116363363788
HTI,Haiti,24,0.111621516402772,23,0.0131815038683166,0.0305574859735355
IDN,Indonesia,24,0.0674295001886807,23,0.00281137710967148,0.0594346872108289
IND,India,23,0.0830868304978347,21,0.0118102697078049,0.0470207802886371
IRN,Iran (Islamic Republic of),24,0.12920989089135,23,-0.00211563018007078,0.0692401550221639
IRQ,Iraq,22,0.12927899472065,20,0.00242661682965402,0.0676238203731694
JAM,Jamaica,24,0.167796975820602,23,-0.0267219500933868,0.0423088160988333
JOR,Jordan,21,0.245720282548682,19,0.0682542620084152,0.216820043887039
KAZ,Kazakhstan,24,0.233966394450875,23,0.0228183946163988,0.129072318006075
KEN,Kenya,24,0.131415200942732,23,0.019762073394866,0.0805943622795464
KGZ,Kyrgyzstan,24,0.179772528413852,23,0.0190561527499342,0.0716247600558516
KHM,Cambodia,24,0.0737674510741186,23,-0.00234726159734446,0.0801859397469556
KIR,Kiribati,21,0.216597670355814,18,0.0100717650356581,0.1326407979594
LBR,Liberia,24,0.182561782043376,23,0.0106540652722148,0.167373037321038
LCA,Saint Lucia,23,0.227853844301097,21,-0.00515186408531511,0.100984622236947
LKA,Sri Lanka,24,0.0950700067067032,23,-0.0109323983069467,0.0496050815816775
LSO,Lesotho,21,0.249406304420329,19,-0.02882801908735,0.174128486014963
MAR,Morocco,20,0.0580070023852696,19,0.00713029228636717,0.0262225521805819
MDA,Republic of Moldova,24,0.131512803531382,23,-0.0208456929740867,0.0528512079848036
MDG,Madagascar,24,0.18642454618063,23,0.0283673012098923,0.15810598050456
MDV,Maldives,24,0.285396302166226,23,-0.0342531903176498,0.235576514067109
MEX,Mexico,24,0.338471405297717,23,-0.0117785819868652,1.12248472974159
MHL,Marshall Islands,22,0.20435527686308,19,-0.00197395440674183,0.175855057630028
MKD,North Macedonia,18,0.101287025223471,16,-0.0162885812279256,0.0644894762229592
MLI,Mali,24,0.266046814483751,23,0.0398572444464495,0.057310208742095
MMR,Myanmar,24,0.243214601700293,23,-0.00937938864458526,0.193535291129813
MNE,Montenegro,17,0.144517221285512,15,0.00728975174322836,0.0643909828128106
MNG,Mongolia,24,0.210361695626824,23,0.0108705627449064,0.0636993839935522
MOZ,Mozambique,24,0.177156808988706,23,0.0253487825610862,0.0669014691063231
MUS,Mauritius,23,0.165851695439123,21,-0.021263599671718,0.0409698982598717
MWI,Malawi,24,0.115255195061292,23,0.0217068346743535,0.0836963440553989
MYS,Malaysia,23,0.0797336473278032,21,-0.0157203907360137,0.0438977821113141
NAM,Namibia,23,0.202646576980108,21,0.0505320294435944,0.110937246303308
NER,Niger,24,0.393802815324413,23,0.0573410552678841,0.274371597341036
NGA,Nigeria,19,0.353274407607498,15,0.0375923515459083,0.103985402526972
NPL,Nepal,24,0.0823133653291398,23,-0.00696971415972932,0.0695986169056166
PAK,Pakistan,24,0.198032403722484,23,0.027658884626685,0.0489484064937804
PAN,Panama,22,0.0854693847497851,20,-0.00579514088379112,0.0951703052408154
PER,Peru,23,0.0925804662183743,21,-0.0162515894321417,0.0614614481352654
PHL,Philippines,23,0.116315478888348,22,-0.00352029794943543,0.0951955504300377
PNG,Papua New Guinea,24,0.247120159711967,23,0.00794912821211276,0.708097046315118
PRY,Paraguay,22,0.0826465176393069,20,-0.00874379105896708,0.03855021523844
ROU,Romania,24,0.146629680820833,23,-0.0242181187441071,0.0513078412432271
RUS,Russian Federation,24,0.143088069441402,23,0.00152113350366797,0.0511000367612023
