who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
EUR,rslt_attn,4088.88520687601,1748.85787015315,2340.02733672285,2343.87700368703,1025.77565604749,1288.22254726414,6182.33756627003,2562.78855129252,3766.16273827318,"   1,750 (1,030 to 2,560)","     4,090 (2,340 to 6,180)","   2,340 (1,290 to 3,770)"
EUR,rslt_bcg_doses,0,20.610963785,-20.610963785,0,20.610963785,-20.610963785,0,20.610963785,-20.610963785,     21 (21 to 21),         0 (0 to 0),    -21 (-21 to -21)
EUR,rslt_cost,16.0578671224435,80.6737719016498,-64.6159047792063,6.44988294067281,54.5122608105801,-100.738475689669,34.1495764163791,117.251921118852,-36.4644964161451,     81 (55 to 117),        16 (6.4 to 34),    -65 (-101 to -36)
EUR,rslt_health,608.462241431632,608.551210613626,-0.08896918199483,608.395252553812,608.527055525963,-0.133621512333569,608.518269991087,608.572878030161,-0.0536384933822137,    609 (609 to 609),       608 (608 to 609),     -0.089 (-0.13 to -0.054)
EUR,rslt_inc,10483.0294782484,4255.85955051422,6227.16992773419,6592.92920588506,2699.53541648657,3806.3712061102,15050.2513374554,5963.81666678657,9278.93841920343,"   4,260 (2,700 to 5,960)","    10,500 (6,590 to 15,100)","   6,230 (3,810 to 9,280)"
EUR,rslt_ly_tb,157508.071577159,66539.7389889508,90968.3325882081,97370.7090001449,41887.7896596306,54138.707426856,228365.922458471,93730.6417636711,137639.221430396,"  66,500 (41,900 to 93,700)","   158,000 (97,400 to 228,000)","  91,000 (54,100 to 138,000)"
EUR,rslt_ly_tbm,5769.1760717962,772.737197139313,4996.43887465689,2989.96925976609,426.536979154719,2550.38094902418,9749.57444417694,1240.67531601208,8552.79787583005,"    773 (427 to 1,240)","     5,770 (2,990 to 9,750)","   5,000 (2,550 to 8,550)"
EUR,rslt_ly_tbn,151738.895505363,65767.0017918114,85971.8937135512,93966.5386018825,41386.5378441789,51270.0265544146,220248.619796384,92636.0349216003,130145.608101986,"  65,800 (41,400 to 92,600)","   152,000 (94,000 to 220,000)","  86,000 (51,300 to 130,000)"
EUR,rslt_tb_deaths,2955.3137072539,1116.92797046326,1838.38573679063,1741.51303730462,655.295773257157,1073.36031754833,4381.28124562052,1632.31748900681,2807.37614818929,"   1,120 (655 to 1,630)","     2,960 (1,740 to 4,380)","   1,840 (1,070 to 2,810)"
EUR,rslt_tbm_deaths,630.117106656805,92.0731953041994,538.043911352606,350.192516367615,51.6949095574047,296.547730786232,1019.16768270856,144.146225384493,884.028303618165,     92 (52 to 144),"       630 (350 to 1,020)",    538 (297 to 884)
EUR,rslt_tbminc,1028.2418646725,144.930609179791,883.311255492713,589.981685645928,86.3039619501951,501.737967644108,1636.46249319868,219.641217689347,1424.01098011568,    145 (86 to 220),"     1,030 (590 to 1,640)","    883 (502 to 1,420)"
